City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Yumen,CN,74.89,broken clouds,40.2833,97.2,
450,Morehead,US,88.95,clear sky,37.2711,-87.1764,CCI Express Inn
451,Akom,CM,74.88,overcast clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
453,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
454,Yatou,CN,71.04,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
460,Kurumkan,RU,73.42,clear sky,54.3,110.3,Ilikchin
461,Contai,IN,83.23,scattered clouds,21.7786,87.7536,PATHFINDER
462,Gezing,AT,73.81,clear sky,47.9178,13.1299,Landhaus Brieger
463,Buchanan,LR,79.43,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
464,Loubomo,CG,80.58,scattered clouds,-4.1997,12.6739,La Dolisienne
465,Kaduqli,SD,86.38,overcast clouds,11.0167,29.7167,Nussyba
466,Bokajan,IN,77.99,scattered clouds,26.0167,93.7833,Priyanka Lodge
468,Kisaran,ID,77.97,overcast clouds,2.9845,99.6158,Penginapan Batubara1
473,Winnemucca,US,77.05,clear sky,40.973,-117.7357,Winners Inn Casino
475,Fairview,US,89.74,few clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
476,Puerto Penasco,MX,87.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
477,Grinnell,US,84.18,clear sky,41.743,-92.7224,"Country Inn & Suites by Radisson, Grinnell, IA"
480,Tema,GH,81.01,scattered clouds,5.667,-0.0166,Beulah Royale Hotel Tema
481,Buala,SB,79.66,light rain,-8.145,159.5921,Maringe Lagoon Lodge
482,Catalina Foothills,US,88.97,clear sky,32.2979,-110.9187,The Westin La Paloma Resort & Spa
483,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
484,Bocanda,CI,76.41,moderate rain,7.0626,-4.4995,Résidence Hôtel
485,Guaruja,BR,78.84,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
487,Aden,YE,87.53,broken clouds,12.7794,45.0367,Sama Emirate Hotel
488,Sinnamary,GF,82.9,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
489,Turan,VN,85.98,scattered clouds,16.0678,108.2208,Grand Mercure Danang
491,Cairns,AU,72.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
495,Alikalia,SL,76.8,moderate rain,9.1667,-11.4,
496,Peniche,PT,78.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
497,Lethem,GY,87.51,scattered clouds,3.3803,-59.7968,Savannah Inn
499,Pemberton,CA,76.21,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
500,Shenzhen,CN,84.22,light rain,22.5455,114.0683,Grand Skylight
501,Saint Anthony,US,71.26,moderate rain,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
