City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Jamestown,US,2022-07-07 14:07:07,42.097,-79.2353,73.06,73,75,3.44,broken clouds
160,Atar,MR,2022-07-07 14:07:07,20.5169,-13.0499,109.96,10,0,1.54,clear sky
161,Bardiyah,LY,2022-07-07 14:07:08,31.7561,25.0865,84.7,62,0,15.9,clear sky
162,Asau,RO,2022-07-07 14:07:08,46.4333,26.4,72.52,49,85,8.63,overcast clouds
163,Biak,ID,2022-07-07 14:07:08,-0.9131,122.8766,75.29,86,100,3.53,overcast clouds
164,Hambantota,LK,2022-07-07 14:07:09,6.1241,81.1185,86.34,58,40,10.36,scattered clouds
165,Nisia Floresta,BR,2022-07-07 14:07:09,-6.0911,-35.2086,79.61,80,79,10.85,light rain
166,Conceicao Do Araguaia,BR,2022-07-07 14:07:09,-8.2578,-49.2647,90.45,31,0,10.6,clear sky
167,Natal,BR,2022-07-07 14:03:33,-5.795,-35.2094,79.45,94,75,8.05,broken clouds
168,Ingham,US,2022-07-07 14:07:10,42.6,-84.3833,75.16,74,0,0.0,clear sky
169,San Quintin,MX,2022-07-07 14:07:10,30.4833,-115.95,66.65,81,93,3.62,overcast clouds
170,Vilyuysk,RU,2022-07-07 14:07:10,63.7553,121.6247,56.73,91,100,14.99,moderate rain
171,Bengkulu,ID,2022-07-07 14:07:11,-3.8004,102.2655,78.82,87,15,3.51,light rain
172,Mahebourg,MU,2022-07-07 14:07:11,-20.4081,57.7,70.09,78,75,12.66,broken clouds
173,Ola,RU,2022-07-07 14:03:21,59.5833,151.2833,52.29,98,72,1.72,broken clouds
174,Morant Bay,JM,2022-07-07 14:07:11,17.8815,-76.4093,84.7,69,4,11.21,clear sky
175,Labuhan,ID,2022-07-07 14:07:12,-6.8844,112.2051,76.73,81,3,9.42,clear sky
176,Bullhead City,US,2022-07-07 14:07:12,35.1478,-114.5683,89.02,22,0,1.99,clear sky
177,Anna Paulowna,NL,2022-07-07 14:07:12,52.862,4.834,64.0,65,100,18.01,overcast clouds
178,Vila,PT,2022-07-07 14:07:13,42.0304,-8.1588,82.71,22,0,4.32,clear sky
179,Port Lincoln,AU,2022-07-07 14:07:13,-34.7333,135.8667,55.04,71,100,13.22,overcast clouds
180,Salalah,OM,2022-07-07 14:07:13,17.0151,54.0924,78.89,94,100,8.05,drizzle
181,Saurimo,AO,2022-07-07 14:07:14,-9.6608,20.3916,85.12,17,24,5.7,few clouds
182,Belmont,US,2022-07-07 14:07:14,37.5202,-122.2758,62.15,87,100,10.36,mist
183,Lebu,CL,2022-07-07 14:07:14,-37.6167,-73.65,47.97,81,76,5.44,broken clouds
184,Beni Mazar,EG,2022-07-07 14:07:15,28.4962,30.8029,98.96,8,0,12.62,clear sky
185,Puerto Narino,CO,2022-07-07 14:07:15,-3.7703,-70.3831,82.53,70,3,1.14,clear sky
186,Opuwo,NA,2022-07-07 14:07:16,-18.0607,13.84,80.29,16,0,10.4,clear sky
187,Gamba,GA,2022-07-07 14:07:16,-2.65,10.0,76.32,70,99,10.56,overcast clouds
188,Mirnyy,RU,2022-07-07 14:07:16,62.5353,113.9611,58.55,55,100,5.39,overcast clouds
189,Souillac,MU,2022-07-07 14:07:17,-20.5167,57.5167,70.18,78,75,12.66,broken clouds
190,Faya,SA,2022-07-07 14:07:17,18.3851,42.4509,79.32,36,97,11.65,overcast clouds
191,Mehamn,NO,2022-07-07 14:07:17,71.0357,27.8492,58.95,67,40,9.22,scattered clouds
192,Banjarmasin,ID,2022-07-07 14:07:17,-3.3244,114.591,78.94,94,96,4.03,overcast clouds
193,Alindao,CF,2022-07-07 14:07:18,5.0267,21.2088,88.57,49,12,5.14,few clouds
194,Kandi,BJ,2022-07-07 14:07:18,11.1342,2.9386,96.69,35,78,2.98,broken clouds
195,Burns Lake,CA,2022-07-07 14:07:18,54.2331,-125.7533,51.15,97,100,2.35,overcast clouds
196,Kantunilkin,MX,2022-07-07 14:07:19,21.0917,-87.45,84.09,68,58,2.91,broken clouds
197,Kuryk,KZ,2022-07-07 14:07:19,43.2,51.65,81.09,31,38,7.25,scattered clouds
198,San Cristobal,VE,2022-07-07 14:07:19,7.7669,-72.225,77.18,61,46,7.02,scattered clouds
199,Khatanga,RU,2022-07-07 14:07:20,71.9667,102.5,50.4,33,53,9.89,broken clouds
200,Ancud,CL,2022-07-07 14:07:20,-41.8697,-73.8203,46.22,86,100,17.49,light rain
201,Mana,GF,2022-07-07 14:06:19,5.6592,-53.7767,82.9,68,8,6.69,clear sky
202,Tallahassee,US,2022-07-07 14:07:12,30.4383,-84.2807,90.32,78,20,6.91,few clouds
203,Mabaruma,GY,2022-07-07 14:07:20,8.2,-59.7833,80.62,87,5,6.73,clear sky
204,San Lorenzo,PY,2022-07-07 14:07:21,-25.3333,-57.5333,79.74,41,0,16.11,clear sky
205,Cherskiy,RU,2022-07-07 14:07:21,68.75,161.3,48.88,60,100,6.4,overcast clouds
206,Samarai,PG,2022-07-07 14:07:21,-10.6167,150.6667,80.91,81,100,9.78,overcast clouds
207,Aksarka,RU,2022-07-07 14:07:22,66.5606,67.7975,79.68,53,57,10.6,broken clouds
208,Maneadero,MX,2022-07-07 14:07:22,31.7167,-116.5667,66.54,85,11,2.86,few clouds
209,Omboue,GA,2022-07-07 14:07:22,-1.5746,9.2618,77.83,69,100,13.24,overcast clouds
210,Coahuayana,MX,2022-07-07 14:07:22,18.7333,-103.6833,79.02,82,100,2.55,overcast clouds
211,Minab,IR,2022-07-07 14:07:23,27.1467,57.0801,92.16,63,89,18.77,overcast clouds
212,Punta Arenas,CL,2022-07-07 14:07:24,-53.15,-70.9167,30.31,93,20,9.22,few clouds
213,Mapimi,MX,2022-07-07 14:07:24,25.8167,-103.85,76.98,41,10,4.29,clear sky
214,Hamilton,US,2022-07-07 14:03:05,39.1834,-84.5333,79.59,86,75,5.75,broken clouds
215,Ambanja,MG,2022-07-07 14:07:25,-13.6833,48.45,76.86,64,6,4.41,clear sky
216,Portree,GB,2022-07-07 14:07:25,57.4129,-6.1942,56.52,97,100,7.34,overcast clouds
217,Sorong,ID,2022-07-07 14:07:26,-0.8833,131.25,76.84,93,100,10.0,overcast clouds
218,Loja,EC,2022-07-07 14:07:26,-3.9931,-79.2042,55.74,91,98,4.45,light rain
219,Haren,DE,2022-07-07 14:07:26,52.7833,7.2333,64.58,59,80,10.36,broken clouds
220,Lagoa,PT,2022-07-07 14:07:26,39.05,-27.9833,66.16,78,98,13.42,overcast clouds
221,Gat,IL,2022-07-07 14:04:04,31.61,34.7642,89.4,42,0,13.11,clear sky
222,Nanakuli,US,2022-07-07 14:07:27,21.3906,-158.1547,75.45,83,20,3.44,few clouds
223,Yarada,IN,2022-07-07 14:07:27,17.65,83.2667,86.32,79,75,4.61,broken clouds
224,Airai,TL,2022-07-07 14:07:27,-8.9266,125.4092,55.2,94,52,2.19,broken clouds
225,Nuzvid,IN,2022-07-07 14:07:28,16.7833,80.85,85.05,81,100,5.06,moderate rain
226,Belyy Yar,RU,2022-07-07 14:07:28,53.6039,91.3903,64.29,82,40,4.47,light rain
227,Sechura,PE,2022-07-07 14:07:28,-5.5569,-80.8222,65.5,74,0,8.68,clear sky
228,Aswan,EG,2022-07-07 14:07:29,24.0934,32.907,105.13,10,81,12.95,broken clouds
229,Dingle,PH,2022-07-07 14:07:29,10.9995,122.6711,77.54,92,100,0.92,overcast clouds
230,Portobelo,PA,2022-07-07 14:07:29,9.55,-79.65,83.73,83,99,11.27,overcast clouds
