City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Pakokku,MM,2022-06-28 00:04:11,21.3333,95.1,81.28,70,98,11.18
190,Bengkulu,ID,2022-06-28 00:04:11,-3.8004,102.2655,76.06,85,99,3.4
191,Sitka,US,2022-06-28 00:00:32,57.0531,-135.33,69.06,65,4,7.27
192,Comarapa,BO,2022-06-28 00:04:12,-17.9,-64.4833,47.84,94,16,4.45
193,Nabire,ID,2022-06-28 00:04:13,-3.3667,135.4833,78.04,87,98,1.14
194,Changchun,CN,2022-06-28 00:00:31,43.88,125.3228,68.0,96,100,11.59
195,Hami,CN,2022-06-28 00:04:13,42.8,93.45,88.97,15,12,2.51
196,Olafsvik,IS,2022-06-28 00:04:14,64.8945,-23.7142,46.96,87,100,17.87
197,New Glasgow,CA,2022-06-27 23:59:45,45.5834,-62.6486,69.78,78,36,17.36
198,Grand Gaube,MU,2022-06-28 00:04:15,-20.0064,57.6608,66.38,75,66,3.0
199,Tongren,CN,2022-06-28 00:04:16,27.7172,109.1853,79.21,90,41,1.74
200,Tarumovka,RU,2022-06-28 00:04:16,44.0761,46.5361,69.96,80,100,6.85
201,Walvis Bay,NA,2022-06-27 23:59:37,-22.9575,14.5053,74.35,27,2,17.27
202,Asfi,MA,2022-06-28 00:01:53,32.2994,-9.2372,66.4,70,0,17.65
203,Parkersburg,US,2022-06-28 00:04:17,39.2667,-81.5615,75.81,43,0,3.44
204,Punta Alta,AR,2022-06-28 00:00:14,-38.8759,-62.0736,48.61,59,2,10.49
205,Tuatapere,NZ,2022-06-28 00:04:18,-46.1333,167.6833,43.5,72,1,3.31
206,Arona,ES,2022-06-28 00:00:09,28.0996,-16.681,64.13,80,40,20.71
207,Khor,RU,2022-06-28 00:04:18,47.8861,134.9464,69.67,77,100,6.04
208,Sibolga,ID,2022-06-28 00:04:19,1.7427,98.7792,76.17,90,100,2.93
209,Nikolskoye,RU,2022-06-28 00:04:19,59.7035,30.7861,67.89,73,89,3.98
210,Kununurra,AU,2022-06-28 00:00:33,-15.7667,128.7333,71.58,43,39,11.5
211,Chapais,CA,2022-06-28 00:04:20,49.7834,-74.8492,55.11,50,95,9.89
